Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo,Particion
0,Bogota_Sabana,2018-01-01,2018-12-01,2019-01-01,Train
1,Bogota_Sabana,2018-02-01,2019-01-01,2019-02-01,Train
2,Bogota_Sabana,2018-03-01,2019-02-01,2019-03-01,Train
3,Bogota_Sabana,2018-04-01,2019-03-01,2019-04-01,Train
4,Bogota_Sabana,2018-05-01,2019-04-01,2019-05-01,Train
5,Bogota_Sabana,2018-06-01,2019-05-01,2019-06-01,Train
6,Bogota_Sabana,2018-07-01,2019-06-01,2019-07-01,Train
7,Bogota_Sabana,2018-08-01,2019-07-01,2019-08-01,Train
8,Bogota_Sabana,2018-09-01,2019-08-01,2019-09-01,Train
9,Bogota_Sabana,2018-10-01,2019-09-01,2019-10-01,Train
10,Bogota_Sabana,2018-11-01,2019-10-01,2019-11-01,Train
11,Bogota_Sabana,2018-12-01,2019-11-01,2019-12-01,Train
12,Bogota_Sabana,2019-01-01,2019-12-01,2020-01-01,Train
13,Bogota_Sabana,2019-02-01,2020-01-01,2020-02-01,Train
14,Bogota_Sabana,2019-03-01,2020-02-01,2020-03-01,Train
15,Bogota_Sabana,2019-04-01,2020-03-01,2020-04-01,Train
16,Bogota_Sabana,2019-05-01,2020-04-01,2020-05-01,Train
17,Bogota_Sabana,2019-06-01,2020-05-01,2020-06-01,Train
18,Bogota_Sabana,2019-07-01,2020-06-01,2020-07-01,Train
19,Bogota_Sabana,2019-08-01,2020-07-01,2020-08-01,Train
20,Bogota_Sabana,2019-09-01,2020-08-01,2020-09-01,Train
21,Bogota_Sabana,2019-10-01,2020-09-01,2020-10-01,Train
22,Bogota_Sabana,2019-11-01,2020-10-01,2020-11-01,Train
23,Bogota_Sabana,2019-12-01,2020-11-01,2020-12-01,Train
24,Bogota_Sabana,2020-01-01,2020-12-01,2021-01-01,Train
25,Bogota_Sabana,2020-02-01,2021-01-01,2021-02-01,Train
26,Bogota_Sabana,2020-03-01,2021-02-01,2021-03-01,Train
27,Bogota_Sabana,2020-04-01,2021-03-01,2021-04-01,Train
28,Bogota_Sabana,2020-05-01,2021-04-01,2021-05-01,Train
29,Bogota_Sabana,2020-06-01,2021-05-01,2021-06-01,Train
30,Bogota_Sabana,2020-07-01,2021-06-01,2021-07-01,Train
31,Bogota_Sabana,2020-08-01,2021-07-01,2021-08-01,Train
32,Bogota_Sabana,2020-09-01,2021-08-01,2021-09-01,Train
33,Bogota_Sabana,2020-10-01,2021-09-01,2021-10-01,Train
34,Bogota_Sabana,2020-11-01,2021-10-01,2021-11-01,Train
35,Bogota_Sabana,2020-12-01,2021-11-01,2021-12-01,Train
36,Bogota_Sabana,2021-01-01,2021-12-01,2022-01-01,Train
37,Bogota_Sabana,2021-02-01,2022-01-01,2022-02-01,Train
38,Bogota_Sabana,2021-03-01,2022-02-01,2022-03-01,Train
39,Bogota_Sabana,2021-04-01,2022-03-01,2022-04-01,Train
40,Bogota_Sabana,2021-05-01,2022-04-01,2022-05-01,Train
41,Bogota_Sabana,2021-06-01,2022-05-01,2022-06-01,Train
42,Bogota_Sabana,2021-07-01,2022-06-01,2022-07-01,Train
43,Bogota_Sabana,2021-08-01,2022-07-01,2022-08-01,Train
44,Bogota_Sabana,2021-09-01,2022-08-01,2022-09-01,Train
45,Bogota_Sabana,2021-10-01,2022-09-01,2022-10-01,Train
46,Bogota_Sabana,2021-11-01,2022-10-01,2022-11-01,Train
47,Bogota_Sabana,2021-12-01,2022-11-01,2022-12-01,Train
